rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,status,gender,birthDate,lastName,firstName,date,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
748,3800,healthcare,su qingcan,54.0,china,xiamen,healthcare,healthcare,china,True,n,m,1969-01-01 00:00:00,su,qingcan,2023-04-04 05:01:00,1969.0,1.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
748,3800,finance & investments,tsai cheng-ta,73.0,taiwan,taipei,finance,finance & investments,taiwan,False,d,m,1950-04-01 00:00:00,tsai,cheng-ta,2023-04-04 05:01:00,1950.0,4.0,1.0,117.24,2.9,21427700000000,65.6,101.8,78.5,9.6,41.2,328239523.0,37.09024,10.451526
748,3800,service,steven udvar-hazy,77.0,united states,westlake,aircraft leasing,service,united states,True,d,m,1946-02-23 00:00:00,udvar-hazy,steven,2023-04-04 05:01:00,1946.0,2.0,23.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
748,3800,manufacturing,elizabeth uihlein,77.0,united states,lake forest,packaging materials,manufacturing,united states,True,n,f,1945-07-07 00:00:00,uihlein,elizabeth,2023-04-04 05:01:00,1945.0,7.0,7.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
748,3800,manufacturing,richard uihlein,77.0,united states,lake forest,packaging materials,manufacturing,united states,True,n,m,1945-08-27 00:00:00,uihlein,richard,2023-04-04 05:01:00,1945.0,8.0,27.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
766,3700,finance & investments,hayes barnard,51.0,united states,austin,fintech,finance & investments,united states,True,n,m,1972-02-15 00:00:00,barnard,hayes,2023-04-04 05:01:00,1972.0,2.0,15.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
766,3700,finance & investments,william berkley,76.0,united states,coconut grove,insurance,finance & investments,united states,True,e,m,1946-09-01 00:00:00,berkley,william,2023-04-04 05:01:00,1946.0,9.0,1.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
766,3700,real estate,charles cohen,71.0,united states,new york,real estate,real estate,united states,False,u,m,1952-02-08 00:00:00,cohen,charles,2023-04-04 05:01:00,1952.0,2.0,8.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
766,3700,real estate,yakir gabay,56.0,united kingdom,london,real estate,real estate,cyprus,True,d,m,1966-04-13 00:00:00,gabay,yakir,2023-04-04 05:01:00,1966.0,4.0,13.0,119.62,1.7,2827113184696,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
766,3700,technology,huang li,59.0,china,wuhan,imaging systems,technology,china,True,d,m,1963-06-27 00:00:00,huang,li,2023-04-04 05:01:00,1963.0,6.0,27.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
766,3700,logistics,brad jacobs,66.0,united states,greenwich,logistics,logistics,united states,True,e,m,1956-07-01 00:00:00,jacobs,brad,2023-04-04 05:01:00,1956.0,7.0,1.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
766,3700,real estate,ji qi,56.0,china,shanghai,"hotels, motels",real estate,china,True,u,m,1966-10-01 00:00:00,ji,qi,2023-04-04 05:01:00,1966.0,10.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
766,3700,media & entertainment,jason jiang,50.0,china,shanghai,advertising,media & entertainment,singapore,True,d,m,1973-01-01 00:00:00,jiang,jason,2023-04-04 05:01:00,1973.0,1.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
766,3700,technology,jim kavanaugh,60.0,united states,st. louis,it provider,technology,united states,True,u,m,1962-10-17 00:00:00,kavanaugh,jim,2023-04-04 05:01:00,1962.0,10.0,17.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
766,3700,real estate,richard lefrak & family,77.0,united states,new york,real estate,real estate,united states,False,e,m,1945-08-29 00:00:00,lefrak,richard,2023-04-04 05:01:00,1945.0,8.0,29.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
766,3700,finance & investments,mikhail lomtadze,47.0,kazakhstan,almaty,fintech,finance & investments,georgia,True,u,m,1975-10-17 00:00:00,lomtadze,mikhail,2023-04-04 05:01:00,1975.0,10.0,17.0,182.75,5.2,180161741180,61.7,104.4,73.2,11.7,28.4,18513930.0,48.019573,66.923684
766,3700,fashion & retail,tom morris,68.0,united kingdom,merseyside,retail,fashion & retail,united kingdom,True,u,m,1954-10-02 00:00:00,morris,tom,2023-04-04 05:01:00,1954.0,10.0,2.0,119.62,1.7,2827113184696,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
766,3700,manufacturing,shigenobu nagamori,78.0,japan,kyoto,motors,manufacturing,japan,True,d,m,1944-08-28 00:00:00,nagamori,shigenobu,2023-04-04 05:01:00,1944.0,8.0,28.0,105.48,0.5,5081769542380,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924
766,3700,finance & investments,daniel och,62.0,united states,miami beach,hedge funds,finance & investments,united states,True,d,m,1961-01-27 00:00:00,och,daniel,2023-04-04 05:01:00,1961.0,1.0,27.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
766,3700,fashion & retail,horst paulmann & family,88.0,chile,santiago,retail,fashion & retail,chile,True,u,m,1935-01-01 00:00:00,paulmann,horst,2023-04-04 05:01:00,1935.0,1.0,1.0,131.91,2.6,282318159745,88.5,101.4,80.0,18.2,34.0,18952038.0,-35.675147,-71.542969
766,3700,service,anthony pritzker,62.0,united states,los angeles,"hotels, investments",service,united states,False,e,m,1961-01-07 00:00:00,pritzker,anthony,2023-04-04 05:01:00,1961.0,1.0,7.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
766,3700,technology,john sall,75.0,united states,cary,software,technology,united states,True,u,m,1948-04-04 00:00:00,sall,john,2023-04-04 05:01:00,1948.0,4.0,4.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
766,3700,food & beverage,howard schultz,69.0,united states,seattle,starbucks,food & beverage,united states,True,d,m,1953-07-19 00:00:00,schultz,howard,2023-04-04 05:01:00,1953.0,7.0,19.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
766,3700,fashion & retail,richard schulze,82.0,united states,naples,best buy,fashion & retail,united states,True,d,m,1941-01-02 00:00:00,schulze,richard,2023-04-04 05:01:00,1941.0,1.0,2.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
766,3700,real estate,yitzhak tshuva,74.0,israel,netanya,real estate,real estate,israel,True,d,m,1948-07-07 00:00:00,tshuva,yitzhak,2023-04-04 05:01:00,1948.0,7.0,7.0,108.15,0.8,395098666122,63.4,104.9,82.8,23.1,25.3,9053300.0,31.046051,34.851612
766,3700,manufacturing,wang yanqing & family,56.0,china,wuxi,electrical equipment,manufacturing,china,True,d,m,1966-04-07 00:00:00,wang,yanqing,2023-04-04 05:01:00,1966.0,4.0,7.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
787,3600,diversified,rajiv bajaj,56.0,india,pune,diversified,diversified,india,False,split family fortune,m,1966-12-21 00:00:00,bajaj,rajiv,2023-04-04 05:01:00,1966.0,12.0,21.0,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
787,3600,diversified,sanjiv bajaj,53.0,india,pune,diversified,diversified,india,False,split family fortune,m,1969-11-02 00:00:00,bajaj,sanjiv,2023-04-04 05:01:00,1969.0,11.0,2.0,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
787,3600,finance & investments,leonid boguslavsky,71.0,italy,florence,venture capital,finance & investments,canada,True,d,m,1951-06-17 00:00:00,boguslavsky,leonid,2023-04-04 05:01:00,1951.0,6.0,17.0,110.62,0.6,2001244392042,61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
787,3600,finance & investments,jim coulter,63.0,united states,san francisco,private equity,finance & investments,united states,True,u,m,1959-12-01 00:00:00,coulter,jim,2023-04-04 05:01:00,1959.0,12.0,1.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
787,3600,automotive,nicolas d'ieteren,47.0,switzerland,anzere,"auto parts, distribution",automotive,belgium,False,n,m,1975-04-13 00:00:00,d'ieteren,nicolas,2023-04-04 05:01:00,1975.0,4.0,13.0,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
787,3600,real estate,bob gaglardi,82.0,canada,vancouver,hotels,real estate,canada,True,u,m,1941-02-19 00:00:00,gaglardi,bob,2023-04-04 05:01:00,1941.0,2.0,19.0,116.76,1.9,1736425629520,68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771
787,3600,finance & investments,jaime gilinski bacal,65.0,united kingdom,london,banking,finance & investments,colombia,False,d,m,1957-12-14 00:00:00,gilinski bacal,jaime,2023-04-04 05:01:00,1957.0,12.0,14.0,119.62,1.7,2827113184696,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
787,3600,gambling & casinos,pansy ho,60.0,hong kong,hong kong,casinos,gambling & casinos,hong kong,False,u,f,1962-08-26 00:00:00,ho,pansy,2023-04-04 05:01:00,1962.0,8.0,26.0,117.24,2.9,21427700000000,65.6,101.8,78.5,9.6,41.2,328239523.0,37.09024,10.451526
787,3600,finance & investments,alan howard,59.0,switzerland,geneva,hedge funds,finance & investments,united kingdom,True,u,m,1963-09-01 00:00:00,howard,alan,2023-04-04 05:01:00,1963.0,9.0,1.0,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
787,3600,automotive,huang yi,61.0,china,beijing,car dealerships,automotive,hong kong,True,d,m,1962-01-01 00:00:00,huang,yi,2023-04-04 05:01:00,1962.0,1.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
787,3600,finance & investments,peter kellogg,80.0,united states,short hills,investments,finance & investments,united states,False,e,m,1942-09-01 00:00:00,kellogg,peter,2023-04-04 05:01:00,1942.0,9.0,1.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
787,3600,finance & investments,vyacheslav kim,53.0,kazakhstan,almaty,fintech,finance & investments,kazakhstan,True,u,m,1969-06-12 00:00:00,kim,vyacheslav,2023-04-04 05:01:00,1969.0,6.0,12.0,182.75,5.2,180161741180,61.7,104.4,73.2,11.7,28.4,18513930.0,48.019573,66.923684
787,3600,finance & investments,josh kushner,37.0,united states,new york city,venture capital,finance & investments,united states,True,u,m,1985-06-12 00:00:00,kushner,josh,2023-04-04 05:01:00,1985.0,6.0,12.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
787,3600,real estate,samuel tak lee,83.0,hong kong,hong kong,real estate,real estate,hong kong,False,d,m,1939-04-09 00:00:00,lee,samuel tak,2023-04-04 05:01:00,1939.0,4.0,9.0,117.24,2.9,21427700000000,65.6,101.8,78.5,9.6,41.2,328239523.0,37.09024,10.451526
787,3600,real estate,edwin leong,71.0,hong kong,hong kong,real estate,real estate,hong kong,True,d,m,1951-12-04 00:00:00,leong,edwin,2023-04-04 05:01:00,1951.0,12.0,4.0,117.24,2.9,21427700000000,65.6,101.8,78.5,9.6,41.2,328239523.0,37.09024,10.451526
787,3600,finance & investments,"stephen mandel, jr.",67.0,united states,greenwich,hedge funds,finance & investments,united states,True,d,m,1956-03-12 00:00:00,mandel,stephen,2023-04-04 05:01:00,1956.0,3.0,12.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
787,3600,diversified,mohamed mansour,75.0,united kingdom,london,diversified,diversified,egypt,True,u,m,1948-01-23 00:00:00,mansour,mohamed,2023-04-04 05:01:00,1948.0,1.0,23.0,119.62,1.7,2827113184696,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
787,3600,fashion & retail,masahiro miki,67.0,japan,tokyo,shoes,fashion & retail,japan,True,u,m,1955-07-26 00:00:00,miki,masahiro,2023-04-04 05:01:00,1955.0,7.0,26.0,105.48,0.5,5081769542380,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924
787,3600,technology,masahiro noda,84.0,japan,tokyo,software,technology,japan,True,u,m,1938-08-24 00:00:00,noda,masahiro,2023-04-04 05:01:00,1938.0,8.0,24.0,105.48,0.5,5081769542380,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924
787,3600,technology,cliff obrecht,37.0,australia,sydney,software,technology,australia,True,d,m,1985-12-28 00:00:00,obrecht,cliff,2023-04-04 05:01:00,1985.0,12.0,28.0,119.8,1.6,1392680589329,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
787,3600,technology,melanie perkins,35.0,australia,sydney,software,technology,australia,True,d,f,1987-05-13 00:00:00,perkins,melanie,2023-04-04 05:01:00,1987.0,5.0,13.0,119.8,1.6,1392680589329,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
787,3600,finance & investments,j.b. pritzker,58.0,united states,springfield,"hotels, investments",finance & investments,united states,False,e,m,1965-01-19 00:00:00,pritzker,j.b.,2023-04-04 05:01:00,1965.0,1.0,19.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
787,3600,fashion & retail,juan roig,73.0,spain,valencia,supermarkets,fashion & retail,spain,False,d,m,1949-10-08 00:00:00,roig,juan,2023-04-04 05:01:00,1949.0,10.0,8.0,110.96,0.7,1394116310769,88.9,102.7,83.3,14.2,47.0,47076781.0,40.463667,-3.74922
787,3600,real estate,jerry speyer & family,82.0,united states,new york,real estate,real estate,united states,True,e,m,1940-06-23 00:00:00,speyer,jerry,2023-04-04 05:01:00,1940.0,6.0,23.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
787,3600,fashion & retail,lawrence stroll,63.0,switzerland,geneva,fashion investments,fashion & retail,canada,True,u,m,1959-07-11 00:00:00,stroll,lawrence,2023-04-04 05:01:00,1959.0,7.0,11.0,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
787,3600,logistics,tung chee chen,80.0,hong kong,hong kong,shipping,logistics,hong kong,False,e,m,1942-12-15 00:00:00,tung,chee chen,2023-04-04 05:01:00,1942.0,12.0,15.0,117.24,2.9,21427700000000,65.6,101.8,78.5,9.6,41.2,328239523.0,37.09024,10.451526
787,3600,food & beverage,wang junlin,60.0,china,chengdu,liquor,food & beverage,china,True,d,m,1962-09-01 00:00:00,wang,junlin,2023-04-04 05:01:00,1962.0,9.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
787,3600,automotive,xia zuoquan,61.0,china,shenzhen,"automobiles, batteries",automotive,china,True,u,m,1962-01-01 00:00:00,xia,zuoquan,2023-04-04 05:01:00,1962.0,1.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
787,3600,technology,zeng fangqin,57.0,china,shenzhen,smartphone components,technology,china,True,d,f,1965-12-25 00:00:00,zeng,fangqin,2023-04-04 05:01:00,1965.0,12.0,25.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
787,3600,manufacturing,zhang jian,54.0,china,tianjin,"electric bikes, scooters",manufacturing,china,True,u,m,1969-01-01 00:00:00,zhang,jian,2023-04-04 05:01:00,1969.0,1.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
818,3500,fashion & retail,rocco basilico,33.0,united states,los angeles,eyeglasses,fashion & retail,italy,False,n,m,1989-07-11 00:00:00,basilico,rocco,2023-04-04 05:01:00,1989.0,7.0,11.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
818,3500,healthcare,maurizio billi,65.0,brazil,sao paulo,generic drugs,healthcare,brazil,False,u,m,1957-11-22 00:00:00,billi,maurizio,2023-04-04 05:01:00,1957.0,11.0,22.0,167.4,3.7,1839758040766,51.3,115.4,75.7,14.2,65.1,212559417.0,-14.235004,-51.92528
818,3500,finance & investments,fashu chen,62.0,china,fuzhou,investments,finance & investments,china,True,d,m,1960-10-26 00:00:00,chen,fashu,2023-04-04 05:01:00,1960.0,10.0,26.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
818,3500,manufacturing,giuseppe crippa & family,87.0,italy,cernusco lombardone,microchip testing,manufacturing,italy,True,u,m,1935-05-05 00:00:00,crippa,giuseppe,2023-04-04 05:01:00,1935.0,5.0,5.0,110.62,0.6,2001244392042,61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
818,3500,finance & investments,daniel d'aniello,76.0,united states,vienna,private equity,finance & investments,united states,True,d,m,1946-09-14 00:00:00,d'aniello,daniel,2023-04-04 05:01:00,1946.0,9.0,14.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
818,3500,fashion & retail,claudio del vecchio,66.0,united states,muttontown,eyeglasses,fashion & retail,italy,False,n,m,1957-02-26 00:00:00,del vecchio,claudio,2023-04-04 05:01:00,1957.0,2.0,26.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
818,3500,fashion & retail,clemente del vecchio,18.0,italy,milan,eyeglases,fashion & retail,italy,False,n,m,2004-05-06 00:00:00,del vecchio,clemente,2023-04-04 05:01:00,2004.0,5.0,6.0,110.62,0.6,2001244392042,61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
818,3500,fashion & retail,leonardo maria del vecchio,27.0,italy,milan,eyeglasses,fashion & retail,italy,False,n,m,1995-05-06 00:00:00,del vecchio,leonardo maria,2023-04-04 05:01:00,1995.0,5.0,6.0,110.62,0.6,2001244392042,61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
818,3500,fashion & retail,luca del vecchio,21.0,italy,milan,eyeglasses,fashion & retail,italy,False,n,m,2001-08-31 00:00:00,del vecchio,luca,2023-04-04 05:01:00,2001.0,8.0,31.0,110.62,0.6,2001244392042,61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
818,3500,fashion & retail,marisa del vecchio,64.0,italy,rome,eyeglasses,fashion & retail,italy,False,n,f,1958-07-10 00:00:00,del vecchio,marisa,2023-04-04 05:01:00,1958.0,7.0,10.0,110.62,0.6,2001244392042,61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
818,3500,fashion & retail,paola del vecchio,61.0,luxembourg,luxembourg,eyeglasses,fashion & retail,italy,False,n,f,1961-05-14 00:00:00,del vecchio,paola,2023-04-04 05:01:00,1961.0,5.0,14.0,115.09,1.7,71104919108,19.2,102.3,82.1,26.5,20.4,645397.0,49.815273,6.129583
818,3500,finance & investments,walter p.j. droege,70.0,germany,dusseldorf,investing,finance & investments,germany,True,d,m,1952-11-25 00:00:00,droege,walter p.j.,2023-04-04 05:01:00,1952.0,11.0,25.0,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
818,3500,fashion & retail,fan daidi,57.0,china,xian,skincare,fashion & retail,china,True,n,f,1966-01-01 00:00:00,fan,daidi,2023-04-04 05:01:00,1966.0,1.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
818,3500,technology,peter gassner,58.0,united states,pleasanton,software,technology,united states,True,u,m,1965-02-26 00:00:00,gassner,peter,2023-04-04 05:01:00,1965.0,2.0,26.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
818,3500,energy,mikhail gutseriev,65.0,russia,moscow,"oil, coal, real estate",energy,russia,True,u,m,1958-03-09 00:00:00,gutseriev,mikhail,2023-04-04 05:01:00,1958.0,3.0,9.0,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
818,3500,manufacturing,patrick lee,81.0,hong kong,hong kong,paper,manufacturing,hong kong,True,d,m,1942-01-01 00:00:00,lee,patrick,2023-04-04 05:01:00,1942.0,1.0,1.0,117.24,2.9,21427700000000,65.6,101.8,78.5,9.6,41.2,328239523.0,37.09024,10.451526
818,3500,food & beverage,leng youbin,54.0,china,beijing,infant formula,food & beverage,china,True,d,m,1969-01-01 00:00:00,leng,youbin,2023-04-04 05:01:00,1969.0,1.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
818,3500,finance & investments,daniel loeb,61.0,united states,new york,hedge funds,finance & investments,united states,True,d,m,1961-12-18 00:00:00,loeb,daniel,2023-04-04 05:01:00,1961.0,12.0,18.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
818,3500,food & beverage,margarita louis-dreyfus & family,60.0,switzerland,davos,commodities,food & beverage,switzerland,False,d,f,1962-06-01 00:00:00,louis-dreyfus,margarita,2023-04-04 05:01:00,1962.0,6.0,1.0,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
818,3500,healthcare,prasert prasarttong-osoth,90.0,thailand,bangkok,hospitals,healthcare,thailand,True,u,m,1933-03-26 00:00:00,prasarttong-osoth,prasert,2023-04-04 05:01:00,1933.0,3.0,26.0,113.27,0.7,543649976166,49.3,99.8,76.9,14.9,29.5,69625582.0,15.870032,100.992541
818,3500,finance & investments,ira rennert,88.0,united states,new york,investments,finance & investments,united states,True,d,m,1934-05-31 00:00:00,rennert,ira,2023-04-04 05:01:00,1934.0,5.0,31.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
818,3500,fashion & retail,dirk rossmann & family,76.0,germany,lower-saxony,drugstores,fashion & retail,germany,True,u,m,1946-09-07 00:00:00,rossmann,dirk,2023-04-04 05:01:00,1946.0,9.0,7.0,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
818,3500,construction & engineering,arkady rotenberg,71.0,russia,moscow,"construction, pipes, banking",construction & engineering,russia,True,u,m,1951-12-15 00:00:00,rotenberg,arkady,2023-04-04 05:01:00,1951.0,12.0,15.0,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
818,3500,fashion & retail,remo ruffini,61.0,italy,como,winter jackets,fashion & retail,italy,True,u,m,1961-08-27 00:00:00,ruffini,remo,2023-04-04 05:01:00,1961.0,8.0,27.0,110.62,0.6,2001244392042,61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738
818,3500,automotive,vivek chaand sehgal,66.0,india,delhi,auto parts,automotive,australia,True,u,m,1956-09-28 00:00:00,sehgal,vivek chaand,2023-04-04 05:01:00,1956.0,9.0,28.0,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
818,3500,finance & investments,scott shleifer,45.0,united states,new york,private equity,finance & investments,united states,True,d,m,1977-06-14 00:00:00,shleifer,scott,2023-04-04 05:01:00,1977.0,6.0,14.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
818,3500,technology,thomas siebel,70.0,united states,woodside,business software,technology,united states,True,e,m,1952-11-22 00:00:00,siebel,thomas,2023-04-04 05:01:00,1952.0,11.0,22.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
818,3500,manufacturing,wim van der leegte & family,75.0,netherlands,eindhoven,manufacturing,manufacturing,netherlands,False,u,m,1947-08-23 00:00:00,van der leegte,wim,2023-04-04 05:01:00,1947.0,8.0,23.0,115.91,2.6,909070395161,85.0,104.2,81.8,23.0,41.2,17332850.0,52.132633,5.291266
818,3500,diversified,xiao yongming & family,58.0,china,beijing,fertilizer,diversified,china,True,d,m,1964-07-01 00:00:00,xiao,yongming,2023-04-04 05:01:00,1964.0,7.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
818,3500,technology,michael xie,54.0,united states,los altos hills,cybersecurity,technology,united states,True,u,m,1969-02-20 00:00:00,xie,michael,2023-04-04 05:01:00,1969.0,2.0,20.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
818,3500,logistics,yang shaopeng,65.0,china,qingdao,shipping,logistics,china,True,d,m,1958-01-01 00:00:00,yang,shaopeng,2023-04-04 05:01:00,1958.0,1.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
818,3500,fashion & retail,nicoletta zampillo,65.0,monaco,monaco,eyeglasses,fashion & retail,italy,False,n,f,1958-03-28 00:00:00,zampillo,nicoletta,2023-04-04 05:01:00,1958.0,3.0,28.0,117.24,2.9,7184844193,65.6,101.8,78.5,9.6,41.2,38964.0,43.7384176,7.4246158
818,3500,manufacturing,barry zekelman,56.0,canada,windsor,steel,manufacturing,canada,False,u,m,1967-01-03 00:00:00,zekelman,barry,2023-04-04 05:01:00,1967.0,1.0,3.0,116.76,1.9,1736425629520,68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771
852,3400,finance & investments,william ackman,56.0,united states,new york,hedge funds,finance & investments,united states,True,u,m,1966-05-11 00:00:00,ackman,william,2023-04-04 05:01:00,1966.0,5.0,11.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
852,3400,energy,somphote ahunai,55.0,thailand,bangkok,renewable energy,energy,thailand,True,d,m,1967-06-01 00:00:00,ahunai,somphote,2023-04-04 05:01:00,1967.0,6.0,1.0,113.27,0.7,543649976166,49.3,99.8,76.9,14.9,29.5,69625582.0,15.870032,100.992541
852,3400,metals & mining,igor altushkin,52.0,russia,yekaterinburg,metals,metals & mining,russia,True,u,m,1970-09-10 00:00:00,altushkin,igor,2023-04-04 05:01:00,1970.0,9.0,10.0,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
852,3400,food & beverage,ramon ang,69.0,philippines,manila,diversified,food & beverage,philippines,True,u,m,1954-01-14 00:00:00,ang,ramon,2023-04-04 05:01:00,1954.0,1.0,14.0,129.61,2.5,376795508680,35.5,107.5,71.1,14.0,43.1,108116615.0,12.879721,121.774017
